Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment,chip_antibody
SRR20664875,ChIP-Seq,137,5353590410,PRJNA862700,SAMN29989995,2400813752,PLC/PRF/5,Hepatocarcinoma cells,PICB,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16687506,PDS5A;PDS5B-dTAG,HiSeq X Ten,GSM6402442,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2022-10-08T00:00:00Z,2022-07-27T07:40:00Z,1,GSM6402442,PLC/PRF/5,SRP388342,dTAG,"RAD21 (Abcam\, ab992)"
SRR20664876,ChIP-Seq,138,6604063877,PRJNA862700,SAMN29989996,2876958406,PLC/PRF/5,Hepatocarcinoma cells,PICB,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX16687505,PDS5A;PDS5B-dTAG,HiSeq X Ten,GSM6402441,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2022-10-08T00:00:00Z,2022-07-27T08:06:00Z,1,GSM6402441,PLC/PRF/5,SRP388342,dTAG,"CTCF (Millipore\, 07-729)"
SRR20664877,ChIP-Seq,141,5651000069,PRJNA862700,SAMN29989997,2357762688,PLC/PRF/5,Hepatocarcinoma cells,PICB,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX16687504,PDS5A;PDS5B-dTAG,HiSeq X Ten,GSM6402440,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2022-10-08T00:00:00Z,2022-07-27T07:53:00Z,1,GSM6402440,PLC/PRF/5,SRP388342,dTAG,none
SRR20664878,ChIP-Seq,137,5737046887,PRJNA862700,SAMN29989998,2576896776,PLC/PRF/5,Hepatocarcinoma cells,PICB,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16687503,PDS5A;PDS5B-dTAG,HiSeq X Ten,GSM6402439,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2022-10-08T00:00:00Z,2022-07-27T07:46:00Z,1,GSM6402439,PLC/PRF/5,SRP388342,DMSO,"RAD21 (Abcam\, ab992)"
SRR20664879,ChIP-Seq,138,6783892331,PRJNA862700,SAMN29989999,2977411311,PLC/PRF/5,Hepatocarcinoma cells,PICB,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX16687502,PDS5A;PDS5B-dTAG,HiSeq X Ten,GSM6402438,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2022-10-08T00:00:00Z,2022-07-27T07:44:00Z,1,GSM6402438,PLC/PRF/5,SRP388342,DMSO,"CTCF (Millipore\, 07-729)"
SRR20664880,ChIP-Seq,138,5568032091,PRJNA862700,SAMN29990000,2292420328,PLC/PRF/5,Hepatocarcinoma cells,PICB,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX16687501,PDS5A;PDS5B-dTAG,HiSeq X Ten,GSM6402437,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2022-10-08T00:00:00Z,2022-07-27T07:56:00Z,1,GSM6402437,PLC/PRF/5,SRP388342,DMSO,none
SRR20664881,ChIP-Seq,133,2728771372,PRJNA862700,SAMN29990001,1282915586,PLC/PRF/5,Hepatocarcinoma cells,PICB,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX16687500,PDS5B -dTAG,HiSeq X Ten,GSM6402436,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2022-10-08T00:00:00Z,2022-07-27T07:35:00Z,1,GSM6402436,PLC/PRF/5,SRP388342,dTAG,"RAD21 (Abcam\, ab992)"
SRR20664882,ChIP-Seq,150,8466850500,PRJNA862700,SAMN29990002,3663748672,PLC/PRF/5,Hepatocarcinoma cells,PICB,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX16687499,PDS5B-dTAG,HiSeq X Ten,GSM6402435,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2022-10-08T00:00:00Z,2022-07-27T08:30:00Z,1,GSM6402435,PLC/PRF/5,SRP388342,dTAG,"CTCF (Millipore\, 07-729)"
SRR20664883,ChIP-Seq,150,3812688450,PRJNA862700,SAMN29990003,1658184506,PLC/PRF/5,Hepatocarcinoma cells,PICB,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX16687498,PDS5B -dTAG,HiSeq X Ten,GSM6402434,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2022-10-08T00:00:00Z,2022-07-27T07:42:00Z,1,GSM6402434,PLC/PRF/5,SRP388342,dTAG,"PDS5B (Bethyl\, A300-537A)"
SRR20664884,ChIP-Seq,135,4610462594,PRJNA862700,SAMN29990004,2089777646,PLC/PRF/5,Hepatocarcinoma cells,PICB,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX16687497,PDS5B-dTAG,HiSeq X Ten,GSM6402433,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2022-10-08T00:00:00Z,2022-07-27T07:37:00Z,1,GSM6402433,PLC/PRF/5,SRP388342,dTAG,"PDS5A (Bethyl\, A300-089A)"
